Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,2228.795689,2262.826493,2378.262383,2463.187003,2665.405343,2780.226053,2954.338937,3084.411164,3200.430546,3203.452945,3190.245551,3317.967169,3381.748793,3400.784314,3427.245275,3451.37881,3411.213911,3488.475671,3426.94604,3277.357192,2560.009268,2413.934426,2600.094429,2520.924718,2750.238095,2746.888463,2505.273056,2424.246094,2225.024366,2314.26799,2464.222503,2416.317194,2493.928161,2418.840766,2569.250646,2655.532782,2624.493392,2594.513337,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.3871088,297.7916439,303.9353533,311.4807342,310.8242197,311.7601037,321.0606638,325.7966071,331.6686372,340.1529032,344.6547254,351.9771714,358.4233895,358.4670466,
Cameroon,,,,,,,,,,,,383.9994073,382.3607745,380.4821828,380.274368,387.9390813,382.4005396,397.2175734,398.0775834,400.9469791,402.5417732,410.4024672,417.0918721,419.5453203,420.6842536,424.217187,417.6187093,412.5136665,412.7092216,415.1010547,407.0964597,399.2156381,392.2235565,394.7329122,394.5701825,391.1229812,390.7689456,395.023917,396.7545426,389.913162,396.4588222,393.0434753,392.3275574,398.0555568,400.1335042,392.0699092,368.6284117,390.8909022,372.0587153,
Canada,4251.212337,4307.536533,4451.380681,4693.840962,4903.13066,5153.21679,5271.897446,5556.780325,5871.432703,6091.306829,6476.36466,6530.122675,6933.052638,7123.255273,7100.482142,7149.812573,7271.791819,7409.060346,7538.483941,7838.118384,7831.456105,7541.88755,7160.106341,7051.618479,7341.607657,7438.902166,7491.985956,7641.280603,7854.954453,7933.489171,7508.905761,7390.258071,7476.683395,7641.03161,7835.969133,7866.559924,7960.528311,7964.731619,7846.561249,8016.570926,8171.740381,7979.434977,7916.459409,8271.719914,8362.462885,8428.54048,8227.510797,8251.455604,8008.399527,7411.017816
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
