nation,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Iraq,,,,,,,,,,,,,,,,,,3038.712714,3974.255859,4812.233549,4468.223849,4069.567099,3658.857954,2094.35388,2991.948441,2897.141923,3000.258139,2969.538773,3170.789816,3221.806912
Ireland,12758.96656,13022.41194,13178.15631,13055.92109,13527.90693,13901.99311,13838.53744,14459.34061,15283.98081,16270.27361,17666.42625,17905.68641,18382.31953,18802.05625,19843.06147,21524.85044,23081.75376,25477.51156,27338.48983,29911.81433,32303.94169,33619.70589,35202.27836,36158.3696,37143.68608,38577.82512,39674.21287,41135.8609,39267.51138,36277.85903
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,15027.84408,15489.90069,15476.67249,15731.24092,15667.3141,15924.16086,16430.96836,17329.79638,17390.01266,17246.08554,17863.48994,18115.40183,18484.99273,19000.36094,19798.11342,20563.38678,21160.09188,21229.43958,21637.09123,21789.27919,23172.66343,22623.23364,22024.72787,21957.5985,22651.16943,23390.11179,24289.76555,25130.4121,25740.00327,25473.95181
Italy,18836.90021,18973.06498,19037.38368,19253.15946,19869.67135,20419.86704,21002.75614,21670.85842,22569.05021,23316.07163,23774.93564,24122.71675,24292.48002,24061.84055,24574.47967,25268.54671,25537.83114,26001.78792,26358.21227,26739.18983,27713.54837,28201.5439,28242.01316,28017.99601,28168.13901,28144.01391,28554.08674,28765.6189,28169.59538,26577.56781
Jamaica,5107.178602,5170.949072,5187.267366,5190.28054,5022.588687,4808.932646,4847.655477,5195.295416,5388.476322,5730.021961,5932.990628,6178.571511,6255.195519,6793.840446,6834.687586,6938.891896,6848.3685,6705.756795,6491.031987,6514.424821,6533.346737,6582.069605,6613.679935,6924.811428,6988.256133,7027.444445,7183.490809,7251.543227,7181.612059,6930.847194
Japan,17569.66532,18168.79168,18655.26723,19095.67251,19821.93134,20948.85793,21411.08022,22181.16348,23665.20273,24834.18199,26128.69344,26913.64241,27066.79988,27046.2632,27187.04848,27593.06642,28248.26201,28614.85631,27957.84462,27865.51602,28612.80617,28602.66501,28611.07158,28953.47934,29738.02652,30310.34056,30932.62617,31659.85968,31295.20195,29692.40681
Jordan,3931.311011,3959.790475,4085.52331,4003.722147,4187.015575,4179.86371,4310.034036,4275.891924,4051.493448,3382.561766,3292.670809,2998.065112,3378.480147,3378.429444,3411.575678,3506.790048,3472.351154,3479.343799,3476.351075,3530.420335,3590.517884,3687.477922,3807.526998,3869.824311,4100.978089,4334.477445,4568.622101,4840.202203,5085.712547,5082.421188
Kazakhstan,,,,,,,,,,,7089.126992,6270.010807,5941.819588,5431.076142,4816.131131,4499.362002,4590.866285,4743.264027,4734.156788,4908.511169,5405.777288,6146.004554,6748.040505,7350.823379,8000.692375,8699.114736,9528.576272,10258.60748,10468.81835,10451.74458
Kenya,1375.44224,1373.909123,1342.334014,1309.142515,1282.89561,1289.334031,1332.407053,1361.867527,1396.331503,1412.048922,1421.904989,1394.646163,1338.482437,1300.599519,1294.015034,1311.467145,1327.638763,1298.086324,1305.783386,1301.480036,1275.650669,1289.868755,1263.660839,1267.318077,1297.693888,1338.796268,1386.431707,1444.950895,1429.140701,1427.997093
Kiribati,2088.434803,1973.44207,2060.472345,2194.417192,2118.343517,1975.922771,1962.927146,1861.932225,2155.030621,1929.53347,1943.441272,1825.781866,1855.970307,1880.266107,1948.151217,1897.731343,1981.816567,2056.691925,2243.783568,2235.375039,2354.849555,2241.387595,2336.514436,2396.926279,2375.324337,2341.226192,2346.164638,2318.204089,2257.358018,2208.599242
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",5543.572247,5794.185902,6123.261148,6683.780237,7136.626582,7547.382421,8272.198951,9104.317976,9977.136669,10548.26701,11382.64233,12337.00931,12943.72887,13615.12291,14645.4064,15761.31639,16704.35997,17318.07737,16014.96635,17410.07384,18730.4251,19331.15488,20598.07327,21070.52959,21961.18457,22783.27005,23884.25404,25021.36841,25516.93692,25493.43006
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,40039.76262,30712.79835,25643.45136,27099.49197,27436.59279,25401.03209,26360.29751,27258.67543,23454.84753,28230.88171,,,,,,37597.06787,35987.26996,35275.60856,35719.53288,33748.54674,33993.7992,32962.26565,33079.87143,37813.37141,40600.98109,43560.22172,44697.14763,45538.92095,,
Kyrgyz Republic,,,,,,,2139.771764,2165.230326,2395.20507,2415.507796,2505.345995,2271.670149,1934.218965,1636.281594,1308.495911,1224.071422,1291.904371,1399.562902,1407.807024,1438.994964,1501.672221,1569.058528,1556.721562,1650.804987,1748.000874,1727.732995,1764.668765,1899.798204,2042.594537,2073.385396
Lao PDR,,,,,854.4443799,873.1712744,890.4919333,853.6523333,812.7195921,902.15449,935.9540928,949.4566714,975.2947814,1005.693027,1059.552372,1105.225986,1152.259716,1201.33308,1219.658895,1279.956421,1326.570874,1377.230704,1434.068988,1497.41797,1567.793802,1651.302521,1760.860345,1861.310897,1960.118752,2048.08256
Latvia,8165.13169,8460.759494,8609.144977,9002.537495,9465.709989,9372.603369,9758.052492,9925.967416,10369.28992,10893.508,10078.1162,8837.544059,6067.429487,5867.640649,6085.561135,6107.16306,6399.750934,7045.797461,7501.020432,7919.219659,8530.997675,9267.982538,9956.488206,10731.04988,11725.55577,13037.86031,14713.0896,16265.33354,15593.46412,12846.5138
Lebanon,,,,,,,,,8002.238975,4570.549172,5689.184613,7658.170746,7735.963602,7977.061738,8323.924222,8618.875465,8867.426492,8524.373743,8716.628482,8568.932697,8563.003829,8760.565248,8903.685652,9037.084138,9562.685599,9517.166991,9477.605205,10110.9297,10965.56114,11868.14316
Lesotho,822.7757206,806.7542557,805.1727475,758.8679704,817.0338094,838.6624179,826.6354565,754.028466,807.4624763,849.3652598,891.0128259,898.8764756,951.6080574,969.0861498,1008.710996,1009.970209,1038.398571,1053.815412,1090.527885,1075.086649,1117.933398,1148.629701,1147.275325,1184.770964,1199.86582,1201.185417,1267.532325,1286.803511,1332.601403,1332.63873
Liberia,1764.661223,1667.309135,1569.91023,1490.316001,1420.714531,1383.704482,1346.812026,1328.580241,1306.273103,969.3322726,484.2154104,428.3586057,289.4119792,201.3443695,160.1684258,150.8069741,160.1592642,304.5267777,360.6550028,408.3052434,481.2046631,472.8782499,474.4372672,317.5255079,317.0127914,322.8436785,334.3092775,349.9783698,358.412968,359.5835845
Libya,,,,,,,,,,,,,,,,,,,,12154.53859,12350.74626,11581.04764,11198.90293,12397.78774,12680.32928,13653.02633,14166.27362,14714.50335,14969.87911,14984.88134
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,12496.60834,11768.249,9276.458181,7807.050309,7092.754941,7378.556902,7819.08965,8461.789205,9171.369493,9134.607529,9516.369536,10210.56089,10949.74223,12123.63877,13085.49211,14194.39153,15399.10396,17006.86361,17567.58821,15010.68974
Luxembourg,27550.73492,27346.4843,27663.42083,28482.50899,30195.15011,30953.58353,33832.05811,34960.60014,37756.88833,40984.23868,42684.1496,45756.72914,45974.56655,47267.01212,48409.28093,48417.65583,48488.05435,50727.877,53352.25402,57067.40169,61059.39993,61855.62493,63723.79458,63928.43695,65798.52892,68319.186,70984.22949,74421.62779,73126.70379,68853.45655
"Macao SAR, China",,,15204.11225,15892.75983,16631.82607,16175.93521,16562.25685,18108.47816,18813.79482,19170.21401,20389.98427,20570.06195,22785.61405,23511.20728,24106.94935,24662.80259,24216.99373,23840.95763,22465.54848,21640.24246,22537.07151,22796.7305,24641.02944,27569.94967,34345.58194,35878.45129,40768.46166,49759.39539,55115.57886,54621.85359
"Macedonia, FYR",,,,,,,,,,,8340.509316,7771.563683,7218.713572,6645.210427,6496.354895,6391.638038,6433.591598,6492.067852,6677.406309,6934.907416,7221.371934,6871.580835,6911.170153,7089.925265,7365.98491,7656.397411,7949.173401,8410.024036,8807.211514,8740.671188
Madagascar,1289.467607,1134.774057,1086.491156,1069.128723,1059.951842,1044.347131,1036.254443,1019.606869,1024.625199,1035.85127,1037.22081,943.1829075,925.9822285,917.043488,888.7544899,876.6395593,868.3633392,873.1970313,880.2328331,893.8270072,908.903008,935.7773408,793.946401,847.1990741,867.0325292,882.0746844,901.2462338,931.8126548,971.7750749,911.662436
Malawi,691.301165,637.1413204,636.9670945,643.1182406,655.0026645,655.9030407,620.2254305,593.3171723,576.649792,555.3801593,565.1561454,599.9539191,548.6676284,597.1974116,530.9607645,609.7728803,638.7243971,643.3103975,646.2962482,643.7707542,633.2524304,583.8763931,576.8184401,591.6153202,606.9626154,605.5505604,634.1561272,652.4913419,689.1945477,721.3019648
Malaysia,4891.360223,5103.765129,5272.347506,5458.43906,5726.648244,5508.004687,5414.794856,5542.405871,5917.045094,6269.487141,6645.770173,7086.770509,7518.386238,8055.076935,8577.819599,9185.29021,9849.760783,10305.74286,9312.266374,9650.272863,10270.65759,10107.65037,10442.3218,10839.06688,11363.2254,11754.53335,12222.06088,12788.19577,13162.94387,12723.76464
Maldives,,,,,,,,,,,,,,,,2565.724298,2737.554915,2962.21262,3192.937151,3365.5537,3469.455011,3534.75311,3711.186837,3972.11164,4290.554453,4035.174868,4694.642592,4964.241109,5200.251456,4972.261017
Mali,756.5949657,710.7406907,665.928351,685.4881436,702.5205196,611.2962341,650.4654193,634.8035144,631.8274555,692.4873849,666.4592033,663.9969836,705.184844,676.5480067,669.4619269,697.4339941,706.3933369,740.1931304,770.144489,805.9586412,814.5540642,893.1118441,908.884405,953.4790747,951.1161704,985.0087017,1012.798243,1031.600002,1056.860387,1076.508547
Malta,9093.843069,9390.964213,9672.216367,9740.543961,10006.84156,10465.03208,10762.12059,11092.77309,11924.2291,12791.12489,13482.56566,14200.13698,14728.71801,15239.24165,15936.69828,16767.37014,17309.14726,18076.37722,18904.18421,19643.39115,20526.38499,20040.42292,20412.28327,20214.40989,20259.6079,20958.04847,21564.5993,22217.33251,22628.75122,21987.23322
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,1720.66959,1731.070605,1644.256349,1659.392957,1562.962678,1567.604171,1614.634729,1603.755772,1590.454343,1624.55379,1555.270335,1542.451683,1530.655443,1578.174882,1489.483036,1592.190314,1639.677786,1530.967061,1530.865019,1588.463313,1573.530522,1574.50518,1548.014896,1590.097585,1627.807897,1671.901305,1946.01287,1790.135526,1811.8265,1751.359711
Mauritius,3728.907136,3895.296938,4061.224927,4035.871576,4190.198919,4451.75804,4844.065456,5233.48518,5545.519341,5748.507797,6114.542378,6327.942901,6650.626641,6886.685088,7068.433479,7309.402355,7639.307301,7973.329686,8368.904199,8478.921629,9153.884693,9287.674442,9403.116461,9646.421295,10113.22201,10157.50696,10476.46502,10987.17762,11472.07958,11658.05838
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,10421.81004,11070.1227,10753.19585,10078.67482,10222.5561,10271.63431,9686.901231,9672.090561,9603.110257,9816.033552,10120.51221,10352.87977,10532.77434,10544.77893,10819.04671,9968.292815,10319.22555,10859.39211,11233.76617,11507.78068,12094.52652,11950.13142,11927.44056,11966.76209,12325.66833,12592.50368,13070.10132,13370.88088,13433.61419,12429.01509
"Micronesia, Fed. Sts.",,,,,,,2574.892807,2545.382224,2553.481597,2585.533823,2620.598238,2745.957839,2783.70528,2938.782425,2866.584285,2978.276883,2889.730848,2689.888969,2764.049501,2819.350665,2958.526766,2984.168879,3017.555397,3020.681482,2892.785491,2971.878073,2955.787185,2947.373558,2854.849926,2804.052893
Moldova,,,,,,,,,,,4587.753652,3859.033706,2739.832439,2710.691813,1875.674127,1851.968088,1758.089712,1788.685295,1674.245296,1619.868668,1657.252674,1762.281129,1904.143566,2035.540954,2191.798179,2361.948075,2481.629158,2563.925243,2768.272044,2591.892021
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,1854.229928,1957.11965,2017.130241,2077.467047,2130.497055,2254.338112,2252.800041,2290.679761,2320.831007,2216.621362,1987.317082,1788.700357,1732.35656,1770.078093,1875.115813,1906.373358,1964.550544,2011.569491,2051.428043,2036.884318,2070.78309,2140.482981,2260.028377,2467.400059,2612.816052,2801.989052,3052.525619,3285.502818,3198.427707
Montenegro,,,,,,,,,,,,,,,,,,7126.997298,7371.813378,6616.682893,6802.469351,6910.14078,7121.959098,7410.900133,7849.327154,8264.675426,9021.743678,9994.661789,10660.20699,10022.47607
Morocco,2334.626881,2210.40779,2358.607119,2283.498439,2321.329306,2407.519999,2546.397032,2426.36864,2622.359767,2630.343295,2683.959045,2816.799098,2656.520537,2586.365636,2809.32025,2584.741671,2858.138866,2755.041238,2925.565993,2902.418944,2911.264584,3092.834011,3157.482875,3317.742957,3436.361324,3496.678174,3722.401599,3776.135688,3937.65075,4081.221342
Mozambique,439.7882403,450.8104222,410.1853353,338.8423037,311.8785112,311.7924221,303.4835621,348.5666659,377.9230046,401.1693516,400.0630387,409.906319,376.6761126,394.4248406,405.8532095,402.9833356,420.0073125,450.4835365,486.3525859,512.5729678,504.7678532,549.8599384,582.3968388,601.1189128,631.6832942,667.4549482,707.7735729,741.3993539,773.2174978,803.8170111
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,4926.056454,4864.975076,4744.153258,4551.644839,4415.442523,4293.355611,4321.782364,4282.329777,4130.22559,4032.350681,3981.225065,4170.162407,4346.284725,4152.772535,4349.982787,4419.977973,4449.901115,4524.850984,4562.350341,4608.251234,4665.890965,4625.03912,4752.903236,4861.827663,5357.052933,5389.171736,5659.845414,5848.609862,5981.688913,5820.769677
Nepal,568.0204769,600.8538704,608.8483604,576.8142542,617.8008606,640.399488,653.9984465,649.5848301,683.2241986,695.982731,710.8350948,737.8193359,749.3888815,759.1444963,801.2843074,808.6425141,830.7481769,851.2708792,855.6485042,872.100784,904.6208888,926.5529856,907.1852665,922.7661778,945.9370085,955.9273737,972.281989,986.0579134,1019.955556,1048.539129
Netherlands,22271.20607,21946.21259,21573.97419,21937.76909,22520.08062,22992.7576,23503.80628,23805.7405,24466.49789,25394.79215,26274.85323,26705.01437,26967.31419,27125.79209,27743.72728,28462.35462,29323.75481,30402.01828,31411.6951,32660.55211,33690.96361,34081.55703,33890.43739,33844.12593,34481.05496,35104.52625,36237.77777,37465.50635,38064.77398,36358.00405
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,17153.48517,17531.27647,18082.62893,18342.04348,19062.71342,19099.92047,19467.22296,19611.35291,19318.86736,19149.32739,18878.389,18382.94073,18396.38349,19347.00705,20100.43316,20649.58911,21019.61363,21097.05147,21018.98236,22010.63369,22396.57862,23046.99421,23755.94876,24291.42811,24809.03592,25304.86562,25212.63139,25685.55114,25087.64463,24706.22166
Nicaragua,2741.141924,2807.768453,2709.10629,2759.484299,2647.910313,2479.140339,2398.818839,2331.254912,1998.590519,1922.904968,1878.324857,1830.777701,1793.324359,1742.939449,1758.916104,1821.985716,1897.992498,1935.582999,1971.625063,2075.139791,2126.446739,2157.352674,2143.82427,2169.204107,2255.426595,2322.341258,2382.627294,2426.801009,2575.756916,2398.446864
Niger,932.8265033,911.7399689,900.5077951,833.8507986,674.281438,706.0804116,729.9161235,709.8195247,737.0384892,722.117339,691.3932272,686.8122176,621.7616486,610.465487,614.2038784,609.4687142,609.3448857,605.0876795,645.611933,620.3544387,591.1759823,612.2304072,609.8283493,620.7744572,600.1051924,604.8077819,616.277065,612.4901326,644.9232488,626.4175414
Nigeria,1667.93497,1408.881881,1368.37712,1262.570389,1170.889562,1251.108849,1248.671569,1206.916921,1291.072847,1347.531256,1420.140894,1449.720429,1454.477847,1449.485591,1415.127122,1414.907912,1439.735926,1442.739092,1434.345266,1415.171812,1455.673377,1464.714849,1451.734336,1562.991602,1687.524897,1736.545767,1800.819107,1872.215979,1938.739876,2000.778596
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,25972.54274,26316.59913,26253.4508,27149.88875,28701.51307,30143.53709,31240.257,31659.65212,31439.71212,31618.10479,32117.38406,32957.56782,33922.0971,34660.36941,36204.64101,37517.86726,39242.17706,41141.40869,41979.21981,42560.75045,43642.11763,44293.68368,44711.34362,44898.37624,46358.58581,47305.47917,47996.43572,48799.66894,49070.01456,47675.9603
Oman,9767.625259,10839.00514,11469.28808,12709.94194,14128.89786,15394.22379,15061.44325,13993.40421,14297.32052,15418.88918,14860.91576,15210.08998,15916.58794,16314.63931,16425.35586,16773.00354,16867.9006,17504.87519,17623.00548,17285.6578,17903.38144,18918.65665,19086.32221,18827.77948,19133.01027,19533.34049,20204.62111,21133.35108,23332.95697,
Pakistan,1190.90085,1249.499917,1295.557965,1346.482174,1377.089715,1442.406489,1481.755305,1536.342885,1610.493146,1647.85522,1678.196622,1718.962349,1805.580151,1791.840776,1812.765079,1856.498707,1899.371024,1873.12132,1875.274754,1897.647215,1931.347668,1922.7083,1937.419695,1982.919951,2078.313669,2184.359576,2270.143836,2348.310728,2335.224649,2368.760345
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,6566.578597,7008.726697,7220.393144,6746.948,6782.526856,6968.673365,7068.23981,6798.821672,5769.950407,5741.682479,6081.036377,6518.701887,6909.927643,7138.820841,7193.555978,7172.129204,7226.10891,7540.094633,7934.456573,8085.379501,8146.614071,8040.11317,8068.451555,8256.403187,8720.575985,9185.559726,9799.222637,10802.92303,11766.83638,11856.66409
Papua New Guinea,1936.861812,1884.785799,1843.804861,1854.182848,1799.842902,1823.926698,1861.253256,1864.821687,1871.054649,1798.161247,1699.822996,1814.608995,2012.966572,2317.962304,2391.720529,2251.647351,2361.337583,2208.482256,2068.430049,2050.91247,1947.362312,1894.803816,1843.668833,1836.320132,1839.574801,1859.10258,1861.086023,1947.576753,2029.326984,2071.71516
Paraguay,4041.399676,4262.323581,3985.100364,3751.465039,3754.207989,3791.358397,3684.383441,3737.462185,3866.947521,3982.374037,3998.743596,3993.551689,4028.095877,4084.751459,4137.379534,4262.887326,4184.309663,4215.464791,4149.44005,4002.45903,3789.065427,3789.166675,3712.144393,3779.475669,3860.331691,3896.599278,3989.870348,4182.28041,4347.066561,4106.734151
Peru,6068.62746,6344.104524,6154.655045,5300.995722,5447.978456,5473.062212,5885.132699,6215.405387,5551.653924,4798.50183,4458.284279,4464.250461,4359.373806,4481.531011,4963.846708,5295.140391,5334.041102,5603.529149,5475.091829,5437.501264,5512.706287,5443.877197,5636.976568,5785.215708,5994.316349,6323.361338,6730.597177,7242.040099,7858.480118,7836.122077
Philippines,2618.006126,2635.268447,2657.635633,2635.322371,2377.815108,2146.598401,2162.829918,2198.842068,2288.735076,2371.244049,2384.683868,2315.307041,2269.840784,2265.775129,2312.940907,2368.495894,2453.222702,2525.966461,2459.27215,2491.003588,2586.970724,2580.905301,2644.02628,2721.977294,2841.537677,2926.974618,3026.551849,3180.695084,3239.918543,3216.089064
Poland,,,,,,,,,,,8171.41914,7574.462234,7747.029517,8021.699392,8420.305235,8999.453146,9553.411371,10221.9366,10726.67706,11214.34097,11753.38513,11959.01352,12137.25624,12615.12246,13297.14311,13784.16246,14651.85441,15654.51436,16435.63796,16705.03356
Portugal,11993.47596,12082.3818,12265.06002,12190.93849,11920.43785,12227.67679,12734.90989,13570.21268,14624.54722,15615.02347,16299.1488,16944.35182,17080.81734,16713.35596,16834.10564,17504.30079,18094.37878,18823.76204,19696.20853,20408.58524,21102.41957,21377.09696,21372.43185,21025.89513,21229.63513,21294.079,21529.39631,21993.26107,21956.4972,21369.824
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,62110.67364,61063.75495,61955.20244,59998.69325,66543.60226,64452.38002,67642.36107,75415.15413,84043.17129,82977.65758
Romania,7637.157922,7643.307751,7904.876474,8359.182577,8824.203125,8776.653099,8948.77027,8974.42345,8885.471848,8334.711174,7849.320216,6843.244923,6346.675238,6452.221148,6715.471654,7212.157194,7525.506745,7083.160422,6759.227785,6691.499781,6836.585815,7327.815307,7817.701281,8247.333759,8963.668218,9359.47019,10120.70745,10748.26028,11779.54816,10793.95398
Russian Federation,,,,,,,,,,13066.4145,12625.61963,11961.63224,10219.0094,9343.790602,8179.432344,7850.835818,7588.798928,7717.766162,7328.874682,7829.368262,8612.658286,9073.131172,9546.037536,10292.10332,11088.16108,11852.80594,12877.69003,14016.15479,14766.46056,13611.38119
Rwanda,812.3284926,830.0883266,820.5343996,843.8699051,781.5085336,785.6828037,792.0285936,753.5241086,754.3744412,736.8356587,721.9383894,730.800598,828.5712484,827.0397686,439.2201872,605.4150134,656.0858978,687.3597161,676.7552471,665.2204568,672.5911973,698.827657,754.9273328,758.498932,802.2296466,860.0209517,916.9280131,942.3387746,1019.188946,1031.588142
Samoa,,,2477.862807,2483.904937,2510.435616,2601.151509,2733.621036,2733.622414,2678.964588,2760.698813,2620.448626,2541.338482,2516.452504,2597.773427,2509.042276,2648.006295,2811.593583,2804.069014,2841.567603,2879.74858,3059.245953,3258.311235,3389.306376,3542.656471,3707.523487,3858.314693,3940.498396,4031.110404,4234.135109,4000.322216
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,1143.992223,1254.572901,1300.171662,1362.851342,1416.489881,1486.650056,1550.747358,1614.703722,1652.661339
Saudi Arabia,34598.69898,34115.93847,28568.39999,24716.01733,22608.32755,20455.90514,20361.68289,18554.49008,19129.22764,18339.64201,19162.2214,20477.01162,20984.45487,20470.48008,20096.76144,19638.79807,19800.8861,19811.53252,19868.92338,19232.18,19731.91704,19411.19469,19016.0365,20030.07782,20629.39601,21219.71082,21372.22688,21301.79649,21691.85511,21320.877
Senegal,1470.805382,1501.817046,1573.641819,1447.264392,1458.360496,1462.837343,1464.737795,1508.924336,1456.57907,1471.067797,1419.732937,1415.330996,1393.36908,1372.947681,1335.521798,1369.264083,1359.407572,1364.54786,1406.80051,1456.781567,1464.165504,1491.627526,1462.83574,1520.306533,1568.626379,1614.030979,1611.748932,1645.904201,1656.401167,1649.564636
Serbia,,,,,,,,,,,11711.94508,10552.80678,7635.557066,5269.620554,5376.687205,5701.460545,6170.179443,6845.983143,6968.499583,6210.467474,6560.551385,6939.864874,7213.790282,7406.117827,8039.562325,8515.322104,8996.102692,9655.914361,10232.19086,9966.737375
Seychelles,10908.58843,9900.581519,9692.814066,9442.888393,9789.969089,10798.76148,10703.88268,11097.6108,11612.39631,12812.34963,13588.70152,13814.80774,14617.79898,15298.49832,14927.24566,14532.82653,15025.40493,16626.42477,17674.54862,17655.20602,18242.54372,17812.63746,17490.61483,16639.843,16224.31571,17352.22369,18414.92568,20098.26975,19477.86202,17786.25348
Sierra Leone,787.3176439,793.3501838,814.757988,781.5139498,795.7635549,735.4527241,724.5343809,754.6755113,682.3410813,672.8871107,686.7505741,700.7106354,570.1096055,583.1966554,576.7755198,533.0094477,559.4207815,463.5066214,454.7583889,410.5464494,415.7275478,475.5631736,583.1256918,611.4043328,631.5369753,652.8737532,678.6394271,702.4207136,722.6999292,733.6742395
Singapore,14453.46719,15115.22424,15494.80849,16600.89713,17648.82103,17368.69306,17756.68955,19206.88068,20876.35136,22300.53155,23428.98287,24263.15046,25037.69855,27276.3772,29492.44595,30942.70871,32024.82635,33550.747,31983.34743,34014.07125,36792.84296,34954.82397,36076.62432,37888.0556,41000.22966,45374.30275,47776.35815,49738.89165,48001.83457,45977.78287
Slovak Republic,,,,,11480.3423,11811.03492,12207.24887,12465.85096,12647.42657,12749.97897,12442.31427,10628.99589,9870.662278,9473.135749,10018.28537,10571.28714,11398.56019,12031.12727,12538.08029,12531.32072,12718.04991,13185.31179,13789.946,14447.47801,15166.37229,16163.60121,17523.70368,19356.38841,20515.38819,19202.48351
Slovenia,,,,,,,,,,,16404.69748,14917.78427,14138.74464,14761.08292,15374.71934,15925.94382,16486.66681,17339.58001,17988.46475,18926.01884,19721.87025,20253.23051,21036.90906,21614.92741,22526.78432,23497.61003,24783.82842,26320.63485,27196.84494,24806.41844
Solomon Islands,,,,,,,,,,,2309.114423,2379.011054,2605.07291,2631.828559,2792.601784,2937.60506,2901.908806,2781.342822,2753.643206,2666.216852,2224.59666,1992.897969,1886.406342,1957.055416,2000.392692,2055.467126,2143.229496,2313.907838,2422.380288,2312.492817
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,8762.625987,9010.613419,8753.872535,8374.801893,8576.391125,8255.316683,8047.69771,8014.221357,8153.885102,8164.688778,7974.707562,7732.45717,7410.955176,7345.60699,7422.839409,7490.390929,7641.046592,7665.858798,7526.468032,7520.198819,7640.996917,7690.992601,7863.89859,7993.428939,8259.298685,8596.830871,8977.294238,9366.495452,9604.432819,9332.856754
Spain,15378.97955,15214.14085,15321.77304,15520.17717,15734.4259,16043.10182,16517.30016,17392.89639,18240.20733,19082.69069,19769.60594,20219.28903,20339.94291,20067.65099,20490.71404,21006.53561,21464.59247,22236.27253,23148.70992,24122.74498,25128.82907,25753.0637,26069.51916,26434.88002,26859.07737,27376.79604,28013.31486,28518.62898,28335.94925,27066.05755
Sri Lanka,1532.885761,1596.104436,1638.959411,1694.862625,1757.765634,1821.094456,1874.839908,1881.463087,1902.170272,1920.435265,2017.531867,2084.65029,2150.889506,2273.792315,2376.40378,2483.592434,2556.202021,2699.350603,2807.059434,2910.021119,3067.75082,3006.959574,3105.687601,3246.929457,3372.886296,3545.881168,3775.908321,4007.591599,4215.246073,4332.923367
St. Kitts and Nevis,4775.992501,4791.260983,4679.896566,4675.480408,5281.747054,5740.734138,6433.617784,7017.6935,7680.218545,8293.51649,8510.753809,8590.207555,8920.329548,9561.320188,10096.94206,10514.58123,11238.22543,12037.36099,12360.09119,12348.69158,12112.01305,11870.84249,11838.68159,11894.27654,12727.55537,13157.51357,13769.23087,13934.03739,14461.15612,13191.17208
St. Lucia,4178.377905,4255.051872,3731.025528,3835.024811,4666.967028,4328.997502,4898.456226,4923.29911,5441.890391,5854.317459,7130.233377,7218.895744,7660.949805,7703.213523,7660.421434,7762.783293,8092.887848,7984.180542,8363.680574,8463.41807,8338.610695,7816.424547,7996.577657,8083.459426,8442.997389,8683.269407,9081.360912,9194.233193,9170.257848,8721.63617
St. Vincent and the Grenadines,2659.639195,2798.557143,2909.311576,3014.302885,3168.728394,3338.965885,3537.039288,3673.278743,4184.451863,4266.68295,4463.939366,4478.672989,4806.973097,4810.084997,4663.98522,4710.837975,4775.693975,5413.213268,5697.210608,5950.322393,6056.106322,6185.340143,6413.263996,6597.849691,7018.107981,7155.2253,7825.865395,8469.495079,8555.56845,8312.1372
Sudan,1007.610868,1047.130641,1072.906118,1059.61209,975.7631508,888.7082111,912.8634424,1018.189235,992.0960881,1056.316294,974.9944679,1022.318914,1061.785173,1081.450296,1063.900953,1098.663557,1133.98078,1222.032149,1243.069117,1251.080524,1325.14202,1376.742301,1421.069178,1492.459352,1537.419977,1600.978106,1743.572937,1878.616769,1962.700064,2006.542408
Suriname,6609.522142,6599.885794,6457.07665,6233.008057,5952.31217,5796.365688,5531.71856,4714.429361,5026.133593,5457.357416,5343.380096,5410.534604,5324.641325,4872.711878,4964.672201,4951.857044,4946.258747,5158.335019,5166.17371,5050.351428,4976.891109,5130.204532,5302.189759,5543.05478,5909.446547,6067.360382,6301.122499,6561.628122,6835.26216,
