nation,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bolivia,3603.783914,3534.899638,3323.310034,3121.852493,3049.860261,2934.695572,2797.329626,2803.649661,2821.51678,2863.030795,2928.092792,3011.8799,2990.965184,3046.947303,3116.789808,3190.135416,3257.1499,3346.161265,3441.467602,3385.270799,3399.574336,3387.041187,3401.927104,3425.430787,3499.57644,3757.493251,3856.851581,3787.740726,3950.280877,4013.03621
Bosnia and Herzegovina,,,,,,,,,,,,,,,1303.367892,1635.869959,3115.845159,4112.853134,4597.873355,4869.77444,5009.258599,5153.243051,5386.560173,5591.636143,5934.770057,6232.316076,6618.34511,7076.66771,7470.722102,7265.881618
Botswana,3474.865069,3660.981882,3971.672369,4350.487194,4573.96821,4747.169162,4976.568509,5398.312644,6254.62002,6862.064377,7113.286955,7424.921921,7427.35755,7363.655868,7431.037763,7564.577755,7794.078612,8391.431628,9081.307281,9356.511917,9736.148499,9925.18244,10673.55892,11206.88694,11733.37013,11772.06865,12203.85964,12603.92874,12802.95905,12153.93907
Brazil,7572.334775,7072.428667,6950.20919,6561.696892,6756.084531,7139.275816,7553.843663,7673.983308,7523.53953,7631.720959,7178.582014,7167.81178,7022.376577,7238.06118,7509.611605,7723.672795,7771.279295,7913.361481,7798.807136,7703.901667,7920.500769,7911.427898,8010.007563,7994.316227,8344.056716,8505.417044,8743.915977,9180.844896,9561.834928,9413.778015
Brunei Darussalam,79031.59864,61430.46922,62017.94909,60595.45335,59283.72674,56785.72648,53703.44905,53248.7834,52322.66933,50309.47922,49437.69444,49575.52872,50498.99846,49267.89161,49452.54267,50310.89101,50432.0366,48446.92447,47004.60402,47299.2493,47542.68689,47780.26028,48585.72762,48975.4953,48237.41022,47468.34359,48588.6259,47948.54096,,
Bulgaria,5828.859251,6103.463207,6234.716305,6437.728741,6644.449553,6810.540042,7084.42283,7501.624977,8313.387758,8134.079773,7527.289763,6960.243758,6523.596435,6478.619393,6625.336419,6843.228733,6258.061761,6187.615084,6531.69033,6699.740633,7213.43254,7655.362686,8053.094058,8546.406558,9172.387789,9807.273279,10501.38848,11235.83464,11991.31567,11455.75274
Burkina Faso,654.2072671,667.1673226,714.8040173,701.0468109,672.441729,711.9127543,749.031703,727.6539749,749.1666874,744.521607,719.9109071,763.7885708,744.5743121,749.1835454,738.2126309,759.04729,819.6821915,847.6885829,884.470153,922.8812978,912.0998914,942.8979448,956.0529764,999.5952119,1011.553488,1040.053358,1060.479284,1061.547928,1077.130616,1077.823693
Burundi,430.4816037,467.9607643,447.9055329,448.85796,434.2420458,469.060394,468.2463449,478.0361347,486.7000204,479.4726886,483.9937441,497.2159727,492.7914458,454.5959667,431.2627981,392.6219832,358.0146981,349.8458728,363.7975284,356.4637307,348.1786888,348.283644,355.0144208,341.133731,347.3186825,340.182851,347.0176595,348.7558253,353.7848383,356.0653194
Cambodia,,,,,,,,,,,,,,727.3611461,769.4240997,795.8395807,816.9722036,841.9749383,864.3085531,947.0891303,1010.103777,1071.598535,1124.027488,1200.091741,1303.352399,1452.70876,1583.399805,1716.838254,1801.763458,1738.933795
Cameroon,2013.341349,2289.310318,2391.193809,2482.599655,2591.235094,2717.909179,2815.14068,2671.433207,2387.937945,2274.364029,2072.870551,1936.65706,1823.802361,1716.948124,1629.348081,1639.578042,1678.472017,1721.252679,1765.100224,1799.492627,1831.378206,1869.622429,1899.672516,1930.80559,1956.415175,1955.683701,1972.815996,1995.680621,2007.462427,2002.167338
Canada,23070.39783,23584.17483,22635.3686,23018.55998,24123.84051,25043.1307,25392.91594,26127.9366,27075.83077,27293.87772,26941.15047,26021.06034,25928.58117,26246.13498,27243.91105,27778.03579,27925.27946,28799.35035,29720.99856,31106.65914,32446.78709,32693.85019,33349.45698,33639.97767,34343.67187,35033.42293,35650.60771,36073.62892,35895.46982,34567.05803
Cape Verde,,1171.167785,1212.076261,1315.99761,1422.36719,1502.672305,1508.516477,1516.279603,1573.920958,1628.072207,1603.050714,1588.091634,1601.075185,1673.469192,1748.116059,1837.640493,1871.162282,1932.882355,2036.283507,2170.50965,2271.965193,2316.603531,2381.419235,2486.770268,2429.193441,2675.832018,2903.290234,3109.135692,3263.532756,3308.63481
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,957.4988668,916.2517109,957.8320317,853.8688652,908.3109359,919.2956757,929.7173501,864.6993631,861.2486079,859.5314881,821.822144,797.2057392,726.8058855,710.0558601,725.3765785,757.8219276,709.5116125,729.0875847,745.607617,755.3995786,756.7368201,744.0490026,726.3299297,659.4627569,654.5037042,658.305785,670.8189204,682.6530601,684.5098875,687.7614379
